Género,Edad,Trabaja,Facultad,Horas al día en Cd. Universitaria,Jugo natural,Agua embotellada,Refresco,Café,Frappé,Smoothie,Licuado,Agua natural de fruta,Frecuencia de ir a un snack,Dinero gastado en el snack,Ha ido al snack de Filosofía ,Quiere snack 
Femenino,20,Si,FCFM,5,Me gusta,Me gusta,Me gusta mas o menos,No me gusta,No me gusta,Me gusta mas o menos,Me gusta mas o menos,Me gusta,mas de 2 veces,de 25 a 50,No,Si
Femenino,23,Si,FCFM,9,Me gusta mucho,Me gusta mucho,Me gusta mas o menos,Me gusta mucho,Me gusta mucho,No me gusta,No me gusta,Me gusta mas o menos,1 vez,de 50 a 75,Si,Si
Femenino,19,No,FCQ,7,Me gusta,Me gusta,Me gusta mucho,Me gusta,Me gusta,Me gusta mucho,Me gusta mas o menos,Me gusta mas o menos,mas de 2 veces,de 50 a 75,Si,Si
Masculino,20,Si,Otra,5,Me gusta mucho,Me gusta poco,No me gusta,Me gusta poco,Me gusta mas o menos,Me gusta mas o menos,Me gusta,Me gusta mucho,mas de 2 veces,de 0 a 25,Si,Si
Femenino,17,Si,FCFM,12,Me gusta mucho,Me gusta mucho,No me gusta,Me gusta,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta mucho,mas de 2 veces,de 50 a 75,No,Si
Masculino,20,No,FCB,11,Me gusta mucho,Me gusta mucho,Me gusta poco,Me gusta,Me gusta,Me gusta mucho,Me gusta mucho,Me gusta poco,2 veces,de 0 a 25,No,Si
Masculino,21,Si,FCQ,4,Me gusta mucho,Me gusta mucho,Me gusta poco,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta mucho,1 vez,de 25 a 50,No,Si
Femenino,21,No,FCFM,7,Me gusta,Me gusta,Me gusta,Me gusta poco,Me gusta mas o menos,Me gusta,Me gusta mas o menos,Me gusta,0 veces,de 25 a 50,No,No
Femenino,21,Si,FCQ,4,Me gusta mucho,Me gusta mucho,Me gusta mucho,No me gusta,Me gusta mas o menos,Me gusta mucho,Me gusta mucho,Me gusta mucho,mas de 2 veces,de 25 a 50,No,Si
Femenino,24,Si,Otra,NA,Me gusta mucho,Me gusta mucho,No me gusta,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta mucho,Me gusta,1 vez,de 25 a 50,No,Si
Masculino,19,No,FCB,7,Me gusta mucho,Me gusta mucho,Me gusta poco,Me gusta mas o menos,Me gusta mas o menos,Me gusta mas o menos,Me gusta,Me gusta mucho,1 vez,de 25 a 50,Si,Si
Femenino,18,No,Otra,10,Me gusta,Me gusta,Me gusta mas o menos,No me gusta,No me gusta,No me gusta,No me gusta,Me gusta poco,1 vez,de 25 a 50,No,Si
Femenino,21,No,FCFM,9,Me gusta,Me gusta mas o menos,Me gusta poco,Me gusta mucho,Me gusta mucho,Me gusta,Me gusta mucho,Me gusta mas o menos,2 veces,de 50 a 75,Si,Si
Femenino,23,Si,FCQ,3,Me gusta,Me gusta mas o menos,Me gusta mas o menos,No me gusta,Me gusta mas o menos,Me gusta poco,No me gusta,No me gusta,0 veces,de 0 a 25,No,Si
Femenino,22,Si,FCB,5,Me gusta mucho,Me gusta,No me gusta,Me gusta poco,No me gusta,No me gusta,Me gusta poco,Me gusta,1 vez,de 25 a 50,Si,Si
